Title,URL,Lat,Lon,Hei,comment,note
COFFEE & strangers Espresso Bar,https://www.google.com/maps/place/COFFEE+%26+strangers+Espresso+Bar/data=!4m2!3m1!1s0x130e459e7eadcb55:0x79ea74f1b879fdc0
Chocolate District,https://www.google.com/maps/place/Chocolate+District/data=!4m2!3m1!1s0x130e452cbbcc85dd:0x50f99778aa930256
Café 24,https://www.google.com/maps/place/Caf%C3%A9+24/data=!4m2!3m1!1s0x130e456e7e8fba7b:0x4332f2aa84714c1c
Loscuro,https://www.google.com/maps/place/Loscuro/data=!4m2!3m1!1s0x132be1accfa94a6d:0x9c24f935c98f5126
SuYana Coffee-Bar,https://www.google.com/maps/place/SuYana+Coffee-Bar/data=!4m2!3m1!1s0x130e45b3e278beb1:0x6c050b17edaf7282
Afro deli and coffee,https://www.google.com/maps/place/Afro+deli+and+coffee/data=!4m2!3m1!1s0x130e456e424298d5:0x1681d21445769b07
Sevengrams S.r.l / Coffee Studio 7Gr.,https://www.google.com/maps/place/Sevengrams+S.r.l+%2F+Coffee+Studio+7Gr./data=!4m2!3m1!1s0x4786c3e16b72b967:0x54935b0fe31d2503
Nicol,https://www.google.com/maps/place/Nicol/data=!4m2!3m1!1s0x4786c4020254b601:0xb3aee6d5320e33f9
Orsonero Coffee,https://www.google.com/maps/place/Orsonero+Coffee/data=!4m2!3m1!1s0x4786c6c1d5775d61:0xe7539bfc1ed7653
NOWHERE - Coffee & Community,https://www.google.com/maps/place/NOWHERE+-+Coffee+%26+Community/data=!4m2!3m1!1s0x4786c13a98f1f84f:0x34abfcd4ea130bf8
Loste Café,https://www.google.com/maps/place/Loste+Caf%C3%A9/data=!4m2!3m1!1s0x4786c70ed4936a17:0x5d5f4c3ebadbb88b
Coffee Time,https://www.google.com/maps/place/Coffee+Time/data=!4m2!3m1!1s0x4786c6ea881f11d9:0xba1e1cdb52c6600b
Il Cafetero Specialty Coffee,https://www.google.com/maps/place/Il+Cafetero+Specialty+Coffee/data=!4m2!3m1!1s0x4786c19da5c53b13:0xf8a1876db5ed8a05
Cafezal Specialty Coffee,https://www.google.com/maps/place/Cafezal+Specialty+Coffee/data=!4m2!3m1!1s0x4786c1c98c32a3cf:0xf7cd00694a6f065f
Coffee Circus Lisboa,https://www.google.com/maps/place/Coffee+Circus+Lisboa/data=!4m2!3m1!1s0x130e45ddc306a671:0x4de7c48fbd4735d8
68 Republic St,https://www.google.com/maps/place/68+Republic+St/data=!4m2!3m1!1s0x130e452bd9904287:0x1da60b0e3bba3e50
"41°01'42.3""N 28°58'21.1""E","https://www.google.com/maps/search/41.028423,28.972525"
Brillace Cafe,https://www.google.com/maps/place/Brillace+Cafe/data=!4m2!3m1!1s0x130e4560d3055ceb:0x6e7a5548760e8b7f
La Biglietteria,https://www.google.com/maps/place/La+Biglietteria/data=!4m2!3m1!1s0x1347e9f41aaaacd1:0x445fc51ecba9892c
Mumenti Espresso Bar,https://www.google.com/maps/place/Mumenti+Espresso+Bar/data=!4m2!3m1!1s0x130e4ffbc8389d9f:0x74b0625e4ead3877
Coffee Circus Porto,https://www.google.com/maps/place/Coffee+Circus+Porto/data=!4m2!3m1!1s0x130e45ace1d5e8eb:0x854cc7b82338e1f6
Coffee Circus qawra,https://www.google.com/maps/place/Coffee+Circus+qawra/data=!4m2!3m1!1s0x130e4f26cbb301f7:0x8305a080338d998d
Lot Sixty One Coffee Roasters,https://www.google.com/maps/place/Lot+Sixty+One+Coffee+Roasters/data=!4m2!3m1!1s0x130e453d59efed91:0x21124ed8af8aaeba
Lot Sixty One Coffee Roasters,https://www.google.com/maps/place/Lot+Sixty+One+Coffee+Roasters/data=!4m2!3m1!1s0x130e452b9e9e6ec3:0x7c7f127eb83fc9b7
Ditta Artigianale,https://www.google.com/maps/place/Ditta+Artigianale/data=!4m2!3m1!1s0x132a54074ef231fb:0x18e867209c2c0eec
Rivarno,https://www.google.com/maps/place/Rivarno/data=!4m2!3m1!1s0x132a5527ffb72fcb:0xa74deccfe9791205
